npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1417927229,"PETERS, LAWRENCE",KY,KY,167815.01,223866.83,6224,524,Pain Management,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1417927229
1922246594,"LEWIS, MATTHEW",KY,KY,146086.28,182230.45,7176,334,Family Practice,oig_excluded|nppes_deactivated,2026,no,2.3,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1922246594
1194796169,"GAINEY, MICHAEL",KY,KY,36703.89,49019.23,346,255,Emergency Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1194796169
1316135544,"RAMSEY, DAVLINA",KY,KY,2067.3,2594.64,20,20,Certified Registered Nurse Anesthetist (CRNA),oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1316135544
