npi,org_pac_id,org_name,tier,endpoint,vendor,evidence
1023081411,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023276680,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023351368,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023407244,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023515426,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023542362,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023628484,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023678463,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023744323,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023745189,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1023747987,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033107321,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033174313,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033178348,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033197181,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033345061,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033416391,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033456322,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033504287,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033614649,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033641360,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1033679741,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043030828,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043218159,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043294838,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043426828,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043531452,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1043601149,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
